Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1743673694.865	     0.006	0	648	0	0	./albatross/albatross data/53188-5-100-0.9-13-False.cnf
2	:	1743673694.867	     0.006	0	648	0	0	./albatross/albatross data/53188-5-100-0.9-14-False.cnf
3	:	1743673694.869	     0.006	0	648	0	0	./albatross/albatross data/53188-5-100-0.9-15-False.cnf
4	:	1743673694.872	     0.006	0	648	0	0	./albatross/albatross data/53188-5-100-0.9-16-False.cnf
5	:	1743673694.876	     0.005	0	648	0	0	./albatross/albatross data/53188-5-100-0.9-17-False.cnf
6	:	1743673694.879	     0.008	0	10317	0	0	./albatross/albatross data/53188-5-100-0.8-13-False.cnf
7	:	1743673694.881	     0.023	0	81680	0	0	./albatross/albatross data/53188-5-100-0.8-14-False.cnf
10	:	1743673694.889	     0.016	0	3814	0	0	./albatross/albatross data/53188-5-100-0.8-17-False.cnf
15	:	1743673694.901	     0.009	0	4001	0	0	./albatross/albatross data/53188-5-100-0.7-17-False.cnf
14	:	1743673694.898	     0.019	0	3966	0	0	./albatross/albatross data/53188-5-100-0.7-16-False.cnf
11	:	1743673694.891	     0.026	0	688	0	0	./albatross/albatross data/53188-5-100-0.7-13-False.cnf
16	:	1743673694.904	     0.026	0	713	0	0	./albatross/albatross data/53188-5-100-0.6-13-False.cnf
26	:	1743673694.930	     0.004	0	656	0	0	./albatross/albatross data/22710-5-100-0.9-13-False.cnf
19	:	1743673694.911	     0.026	0	4408	0	0	./albatross/albatross data/53188-5-100-0.6-16-False.cnf
27	:	1743673694.932	     0.006	0	656	0	0	./albatross/albatross data/22710-5-100-0.9-14-False.cnf
28	:	1743673694.935	     0.006	0	656	0	0	./albatross/albatross data/22710-5-100-0.9-15-False.cnf
25	:	1743673694.927	     0.023	0	4656	0	0	./albatross/albatross data/53188-5-100-0.5-17-False.cnf
31	:	1743673694.944	     0.006	0	673	0	0	./albatross/albatross data/22710-5-100-0.8-13-False.cnf
29	:	1743673694.938	     0.028	0	655	0	0	./albatross/albatross data/22710-5-100-0.9-16-False.cnf
30	:	1743673694.942	     0.032	0	16968	0	0	./albatross/albatross data/22710-5-100-0.9-17-False.cnf
9	:	1743673694.886	     0.088	0	158303	0	0	./albatross/albatross data/53188-5-100-0.8-16-False.cnf
35	:	1743673694.956	     0.019	0	3830	0	0	./albatross/albatross data/22710-5-100-0.8-17-False.cnf
41	:	1743673694.972	     0.007	0	703	0	0	./albatross/albatross data/22710-5-100-0.6-13-False.cnf
36	:	1743673694.958	     0.029	0	688	0	0	./albatross/albatross data/22710-5-100-0.7-13-False.cnf
37	:	1743673694.961	     0.029	0	687	0	0	./albatross/albatross data/22710-5-100-0.7-14-False.cnf
32	:	1743673694.947	     0.052	0	68924	0	0	./albatross/albatross data/22710-5-100-0.8-14-False.cnf
42	:	1743673694.974	     0.029	0	702	0	0	./albatross/albatross data/22710-5-100-0.6-14-False.cnf
51	:	1743673695.000	     0.006	0	655	0	0	./albatross/albatross data/42462-5-100-0.9-13-False.cnf
52	:	1743673695.003	     0.006	0	655	0	0	./albatross/albatross data/42462-5-100-0.9-14-False.cnf
45	:	1743673694.984	     0.026	0	4264	0	0	./albatross/albatross data/22710-5-100-0.6-17-False.cnf
8	:	1743673694.884	     0.128	0	187197	0	0	./albatross/albatross data/53188-5-100-0.8-15-False.cnf
46	:	1743673694.986	     0.027	0	758	0	0	./albatross/albatross data/22710-5-100-0.5-13-False.cnf
53	:	1743673695.006	     0.007	0	655	0	0	./albatross/albatross data/42462-5-100-0.9-15-False.cnf
54	:	1743673695.009	     0.006	0	655	0	0	./albatross/albatross data/42462-5-100-0.9-16-False.cnf
55	:	1743673695.013	     0.027	0	654	0	0	./albatross/albatross data/42462-5-100-0.9-17-False.cnf
56	:	1743673695.017	     0.029	0	683	0	0	./albatross/albatross data/42462-5-100-0.8-13-False.cnf
61	:	1743673695.030	     0.026	0	693	0	0	./albatross/albatross data/42462-5-100-0.7-13-False.cnf
62	:	1743673695.033	     0.029	0	692	0	0	./albatross/albatross data/42462-5-100-0.7-14-False.cnf
70	:	1743673695.054	     0.009	0	4783	0	0	./albatross/albatross data/42462-5-100-0.6-17-False.cnf
33	:	1743673694.950	     0.118	0	251295	0	0	./albatross/albatross data/22710-5-100-0.8-15-False.cnf
76	:	1743673695.071	     0.005	0	650	0	0	./albatross/albatross data/18735-5-100-0.9-13-False.cnf
77	:	1743673695.074	     0.006	0	650	0	0	./albatross/albatross data/18735-5-100-0.9-14-False.cnf
74	:	1743673695.065	     0.017	0	4940	0	0	./albatross/albatross data/42462-5-100-0.5-16-False.cnf
78	:	1743673695.077	     0.007	0	650	0	0	./albatross/albatross data/18735-5-100-0.9-15-False.cnf
43	:	1743673694.978	     0.108	0	116974	0	0	./albatross/albatross data/22710-5-100-0.6-15-False.cnf
71	:	1743673695.057	     0.031	0	743	0	0	./albatross/albatross data/42462-5-100-0.5-13-False.cnf
79	:	1743673695.080	     0.009	0	650	0	0	./albatross/albatross data/18735-5-100-0.9-16-False.cnf
57	:	1743673695.020	     0.072	0	104499	0	0	./albatross/albatross data/42462-5-100-0.8-14-False.cnf
81	:	1743673695.087	     0.005	0	671	0	0	./albatross/albatross data/18735-5-100-0.8-13-False.cnf
82	:	1743673695.091	     0.006	0	671	0	0	./albatross/albatross data/18735-5-100-0.8-14-False.cnf
83	:	1743673695.095	     0.006	0	671	0	0	./albatross/albatross data/18735-5-100-0.8-15-False.cnf
86	:	1743673695.104	     0.004	0	683	0	0	./albatross/albatross data/18735-5-100-0.7-13-False.cnf
58	:	1743673695.023	     0.088	0	18450	0	0	./albatross/albatross data/42462-5-100-0.8-15-False.cnf
80	:	1743673695.083	     0.029	0	6868	0	0	./albatross/albatross data/18735-5-100-0.9-17-False.cnf
12	:	1743673694.893	     0.225	0	721458	0	0	./albatross/albatross data/53188-5-100-0.7-14-False.cnf
87	:	1743673695.106	     0.029	0	682	0	0	./albatross/albatross data/18735-5-100-0.7-14-False.cnf
17	:	1743673694.906	     0.243	0	700506	0	0	./albatross/albatross data/53188-5-100-0.6-14-False.cnf
91	:	1743673695.118	     0.032	0	708	0	0	./albatross/albatross data/18735-5-100-0.6-13-False.cnf
85	:	1743673695.101	     0.052	0	62587	0	0	./albatross/albatross data/18735-5-100-0.8-17-False.cnf
101	:	1743673695.146	     0.008	0	655	0	0	./albatross/albatross data/50408-5-100-0.9-13-False.cnf
102	:	1743673695.149	     0.005	0	655	0	0	./albatross/albatross data/50408-5-100-0.9-14-False.cnf
103	:	1743673695.152	     0.008	0	655	0	0	./albatross/albatross data/50408-5-100-0.9-15-False.cnf
96	:	1743673695.132	     0.029	0	753	0	0	./albatross/albatross data/18735-5-100-0.5-13-False.cnf
104	:	1743673695.157	     0.006	0	655	0	0	./albatross/albatross data/50408-5-100-0.9-16-False.cnf
106	:	1743673695.162	     0.006	0	662	0	0	./albatross/albatross data/50408-5-100-0.8-13-False.cnf
107	:	1743673695.166	     0.006	0	662	0	0	./albatross/albatross data/50408-5-100-0.8-14-False.cnf
111	:	1743673695.177	     0.009	0	681	0	0	./albatross/albatross data/50408-5-100-0.7-13-False.cnf
112	:	1743673695.180	     0.006	0	681	0	0	./albatross/albatross data/50408-5-100-0.7-14-False.cnf
105	:	1743673695.159	     0.028	0	654	0	0	./albatross/albatross data/50408-5-100-0.9-17-False.cnf
88	:	1743673695.108	     0.080	0	181498	0	0	./albatross/albatross data/18735-5-100-0.7-15-False.cnf
113	:	1743673695.183	     0.006	0	681	0	0	./albatross/albatross data/50408-5-100-0.7-15-False.cnf
115	:	1743673695.189	     0.007	0	4258	0	0	./albatross/albatross data/50408-5-100-0.7-17-False.cnf
108	:	1743673695.168	     0.033	0	15835	0	0	./albatross/albatross data/50408-5-100-0.8-15-False.cnf
89	:	1743673695.112	     0.092	0	76729	0	0	./albatross/albatross data/18735-5-100-0.7-16-False.cnf
114	:	1743673695.185	     0.041	0	55141	0	0	./albatross/albatross data/50408-5-100-0.7-16-False.cnf
116	:	1743673695.193	     0.032	0	698	0	0	./albatross/albatross data/50408-5-100-0.6-13-False.cnf
124	:	1743673695.217	     0.009	0	4771	0	0	./albatross/albatross data/50408-5-100-0.5-16-False.cnf
126	:	1743673695.222	     0.008	0	649	0	0	./albatross/albatross data/43018-5-100-0.9-13-False.cnf
127	:	1743673695.225	     0.008	0	649	0	0	./albatross/albatross data/43018-5-100-0.9-14-False.cnf
128	:	1743673695.230	     0.006	0	649	0	0	./albatross/albatross data/43018-5-100-0.9-15-False.cnf
109	:	1743673695.172	     0.067	0	166464	0	0	./albatross/albatross data/50408-5-100-0.8-16-False.cnf
129	:	1743673695.233	     0.006	0	649	0	0	./albatross/albatross data/43018-5-100-0.9-16-False.cnf
38	:	1743673694.963	     0.279	0	898196	0	0	./albatross/albatross data/22710-5-100-0.7-15-False.cnf
110	:	1743673695.175	     0.069	0	154619	0	0	./albatross/albatross data/50408-5-100-0.8-17-False.cnf
130	:	1743673695.236	     0.008	0	649	0	0	./albatross/albatross data/43018-5-100-0.9-17-False.cnf
131	:	1743673695.239	     0.005	0	667	0	0	./albatross/albatross data/43018-5-100-0.8-13-False.cnf
132	:	1743673695.243	     0.007	0	667	0	0	./albatross/albatross data/43018-5-100-0.8-14-False.cnf
139	:	1743673695.264	     0.019	0	4009	0	0	./albatross/albatross data/43018-5-100-0.7-16-False.cnf
140	:	1743673695.267	     0.018	0	4046	0	0	./albatross/albatross data/43018-5-100-0.7-17-False.cnf
34	:	1743673694.953	     0.335	0	1006193	0	0	./albatross/albatross data/22710-5-100-0.8-16-False.cnf
133	:	1743673695.248	     0.042	0	60023	0	0	./albatross/albatross data/43018-5-100-0.8-15-False.cnf
141	:	1743673695.270	     0.026	0	698	0	0	./albatross/albatross data/43018-5-100-0.6-13-False.cnf
145	:	1743673695.281	     0.017	0	4162	0	0	./albatross/albatross data/43018-5-100-0.6-17-False.cnf
